iter,workload,rt
1,20,333
2,80,415
3,60,370
4,40,538
5,50,489
6,60,253
7,200,416.83
8,40,545
9,90,330.5
10,180,342.6
11,120,376.25
12,110,381.67
13,140,367.75
14,150,402.75
15,180,365.6
16,100,375.67
17,170,418.4
18,170,327.75
19,250,401.88
20,170,416.4
21,50,395
22,280,401.12
23,220,407
24,260,454.62
25,210,340.71
26,220,324.33
27,290,380.33
28,230,429.43
29,330,388.36
30,240,341.43
31,310,379.12
32,260,370.11
33,260,384.89
34,260,399.88
35,340,389.3
36,300,435.9
37,190,403.8
38,560,395.56
39,220,385.33
40,280,391.8
41,440,396.86
42,410,345.77
43,410,411.85
44,240,396.33
45,350,354.83
46,470,422.47
47,320,416.3
48,480,395.57
49,560,347.61
50,280,381.22
51,560,364.17
52,470,379.86
53,500,369.29
54,500,357.12
55,390,358.5
56,540,373.24
57,390,374.38
58,430,388.62
59,660,377
60,430,382.64
61,400,438.17
62,470,377.44
63,700,401.38
64,440,412.33
65,520,402.2
66,600,396.77
67,440,395.75
68,610,385.52
69,590,370.72
70,710,371.7
71,370,413.91
72,560,403.11
73,810,396.45
74,460,404.38
75,480,412.43
76,790,398.5
77,690,369.83
78,470,402.71
79,660,383.14
80,520,403.88
81,830,420.41
82,560,401.68
83,530,423.87
84,780,382.68
85,590,414.06
86,910,411.44
87,740,339.91
88,620,380.73
89,670,401.82
90,620,390.26
91,730,412.75
92,840,413.14
93,730,418.52
94,700,375.18
95,770,390.83
96,700,396
97,800,403.29
98,750,413.74
99,790,385.34
100,730,401.43
101,720,385.43
102,960,384.68
103,570,399.53
104,660,410.32
105,940,380.83
106,640,408.68
107,860,414.72
108,610,396.05
109,770,408.07
110,830,387.21
111,700,412.23
112,820,382.29
113,710,374.62
114,800,401.36
115,780,393.3
116,770,386.11
117,790,385.96
118,790,399.5
119,650,361
120,770,410.62
121,700,394.04
122,750,425.04
123,840,401.46
124,720,414.96
125,700,403.91
126,760,388.19
127,930,398.16
128,650,389
129,820,370.48
130,680,393.09
131,690,407.57
132,740,402.98
133,740,403.32
134,770,446.46
135,910,380.5
136,900,372.19
137,530,400.76
138,670,341.43
139,930,384.3
140,820,423.93
141,670,401
142,870,373.86
143,900,384.09
144,520,358.27
145,900,395.13
146,870,379.9
147,910,360.93
148,620,383.72
149,850,371.17
150,800,379.61
151,740,404.17
152,640,381.32
153,860,402.28
154,690,406.61
155,930,412.3
156,640,379.09
157,900,404.31
158,630,416.38
159,770,393.78
160,950,388.62
161,780,420.86
162,710,387.7
163,750,397.04
164,940,390
165,630,412.09
166,980,391.84
167,640,387.57
168,780,415.12
169,830,411.08
170,840,400.52
171,810,407.63
172,870,408.83
173,510,388.62
174,1060,394.45
175,550,423.4
176,990,436.94
177,880,420.72
178,500,441.4
179,1050,400.43
180,880,370.15
181,930,411.56
182,800,367.88
183,760,379.12
184,970,374.29
185,900,401.83
186,920,375.29
187,860,370.97
188,830,401.77
189,920,389.87
190,1190,389.75
191,650,363.05
192,810,370.93
193,1060,376.97
194,680,398.48
195,830,427.81
196,990,385.12
197,1060,397.37
198,700,394.52
199,880,397.5
200,810,394.14
201,710,406.52
202,1200,428.02
203,890,396.24
204,760,404.69
205,990,383.06
206,900,386.68
207,1080,403.86
208,760,381.32
209,880,388.14
210,750,375.76
211,1260,419
212,640,432.73
213,680,392.05
214,1310,407.8
215,890,404.2
216,810,390
217,950,366.23
218,1150,394.16
219,820,396.42
220,920,400.91
221,1070,383.94
222,840,376.32
223,1010,411.43
224,1130,387.4
225,910,362.77
226,920,388.57
227,960,376.18
228,980,389.77
229,1120,401.5
230,900,384.5
231,770,417.08
232,1100,390.94
233,1020,395.42
234,880,418.2
235,950,386.34
236,1220,378.71
237,920,390
238,850,386.29
239,1110,376.49
240,730,411.39
241,1240,427.15
242,1120,387.4
243,900,420.25
244,990,363.33
245,1020,376.91
246,980,402.5
247,1040,411.5
248,920,398.73
249,1060,380.81
250,1140,411
251,1000,373.62
252,980,402.94
253,1060,391.78
254,1050,398.51
255,1080,382.75
256,1000,390.97
257,870,403.62
258,1280,388.92
259,1140,406.15
260,890,377.47
261,920,380.64
262,1200,391.55
263,1240,398.82
264,910,392.21
265,960,367.72
266,1140,378.55
267,1270,409.68
268,920,422.42
269,810,380.96
270,1080,403.35
271,1130,385.85
272,1170,426.85
273,1100,385.14
274,960,384.33
275,1270,396.79
276,1170,383.98
277,1000,396.69
278,1050,379.94
279,1070,390.36
280,1200,389.31
281,1070,401.97
282,1190,391.67
283,1200,384.2
284,860,376.93
285,910,414.21
286,1420,428.59
287,1140,412.95
288,1030,392.61
289,1040,363.4
290,1120,386.05
291,1190,389.79
292,1090,402.71
293,1240,392.43
294,850,387.33
295,1270,397.27
296,1200,419.39
297,1010,406.86
298,1140,383.05
299,1000,403.89
300,1310,400.67
301,1360,393.33
302,920,394.71
303,920,390.5
304,1430,395.26
305,1320,405.78
306,960,385.69
307,1070,394.43
308,1320,396.67
309,1200,383.42
310,1180,394.17
311,1110,388.51
312,1060,379.56
313,1470,405.58
314,1260,390.68
315,920,366.57
316,1100,382.14
317,1380,382.16
318,1360,405.65
319,940,418.27
320,1260,383.85
321,1200,385.88
322,1270,414.68
323,1200,390.2
324,940,385.87
325,1420,397.13
326,1320,405.51
327,890,411.59
328,1370,392.63
329,1290,377.45
330,1250,394.67
331,1150,413.3
332,1170,380.87
333,1360,410.23
334,1070,403.56
335,1140,426.42
336,1380,382.12
337,1230,407.02
338,890,414.85
339,1350,400.43
340,1500,409.77
341,1080,409.76
342,1210,397.05
343,1210,397.26
344,1320,432.68
345,1230,409.79
346,1370,388.32
347,1160,382.6
348,1010,389.44
349,1400,407.07
350,1330,411.77
351,1180,411.32
352,1410,382.9
353,1300,384.26
354,1370,401.48
355,1190,377.05
356,1010,401.39
357,1500,397.37
358,1320,404.05
359,1380,398.79
360,1240,379.75
361,1220,391.7
362,1130,408.54
363,1470,392.57
364,1370,389.12
365,1360,401.04
366,1260,400.84
367,1220,378.35
368,1300,395.34
369,1480,408.73
370,1340,391.78
371,1070,410.64
372,1180,404.64
373,1270,418.15
374,1740,417
375,1440,388.62
376,1310,375.2
377,1030,376.72
378,1180,383.38
379,1330,443.18
380,1520,431.3
381,1210,415.81
382,1120,410.51
383,1560,394.24
384,1450,389.11
385,1330,420.49
386,1100,376.97
387,1190,392.95
388,1370,404.93
389,1510,436.1
390,1310,424.16
391,1500,381.72
392,1140,399.76
393,1470,399.22
394,1670,388.48
395,1010,408.03
396,1440,384.82
397,1430,400.98
398,1400,392.8
399,1430,410.1
400,1060,391.39
401,1760,397.82
402,860,436.56
403,1780,417.42
404,1500,402.67
405,1110,392.55
406,1500,390.17
407,1570,377.58
408,1500,404.04
409,1280,379.79
410,1310,375
411,1730,405.6
412,1300,388.58
413,1090,413
414,1800,385.18
415,1510,420.65
416,1490,385.88
417,1350,383.69
418,1140,375.33
419,1830,397.66
420,1340,409.64
421,1580,388.6
422,1230,382.82
423,1420,394.2
424,1630,401.34
425,1280,396.39
426,1530,423.62
427,1380,395.66
428,1240,408.62
429,1240,404.07
430,2120,417.27
431,1230,397.02
432,1270,401.6
433,1450,377.02
434,1700,400.28
435,960,436.9
436,1720,405.99
437,1310,392.3
438,1580,433.43
439,1220,414.06
440,1220,411.74
441,1990,421.69
442,980,439.05
443,1630,405
444,1780,406
445,1510,392.31
446,1260,385.61
447,1580,392.23
448,1470,397.31
449,1440,397
450,1690,399.31
451,1210,386.32
452,1690,409.89
453,1510,392.97
454,1400,403.07
455,1560,401.64
456,1720,397.78
457,1340,404.49
458,1660,375.02
459,1580,402.45
460,1490,385.15
461,1440,385.32
462,1470,395.08
463,1510,393.62
464,1570,392.09
465,1290,406.34
466,1000,406.48
467,2180,440.85
468,1670,383.73
469,1210,421.37
470,1340,378.71
471,1550,365.12
472,1360,429.38
473,1940,427.05
474,1390,361.72
475,1400,393.98
476,1550,393.83
477,1340,386.65
478,1810,415.63
479,1360,401.53
480,1460,383.04
481,1450,394.9
482,1500,387.71
483,1620,398.2
484,1560,410.9
485,1610,391.11
486,1360,374.83
487,1590,401.07
488,1400,398.51
489,1620,402.2
490,1420,390.5
491,1530,399.19
492,1480,399.61
493,1360,403.64
494,1530,409.78
495,1690,404.02
496,1230,395.74
497,1560,419.91
498,1570,405.25
499,1630,390.07
500,1360,401.93
501,1670,392.47
502,1270,381.18
503,1860,406.79
504,1300,394.75
505,1510,391.59
506,1620,381.65
507,1350,398.84
508,1500,412.6
509,1520,392.43
510,1810,414.53
511,1400,369.38
512,1510,369.33
513,1710,389
514,1550,377.66
515,1300,395.42
516,1500,400.45
517,1480,398.04
518,1750,398.35
519,1370,415.92
520,1110,403.85
521,1780,385.33
522,1670,415.09
523,1270,416.63
524,1770,375.78
525,1520,387.14
526,1310,410.72
527,1530,383.1
528,1550,398.71
529,1620,397.15
530,1490,409.68
531,1680,398.07
532,1030,374.79
533,1680,396.37
