iteration,workload,measured-rt(average)
1,209,5
2,109,30
3,94,16
4,86,12
5,104,11
6,108,10
7,112,11
8,113,11
9,112,11
10,107,10
11,137,13
12,126,11
13,109,10
14,108,10
15,107,11
16,98,10
17,102,10
18,93,11
19,100,10
20,108,11
21,117,11
22,106,10
23,104,11
24,82,10
25,85,10
26,78,11
27,95,10
28,86,11
29,92,10
30,94,11
31,78,10
32,102,11
33,92,10
34,85,11
35,87,10
36,74,10
37,77,10
38,107,11
39,102,11
40,103,10
41,94,10
42,77,10
43,68,10
44,82,11
45,73,10
46,78,10
47,94,12
48,92,10
49,68,10
50,79,11
51,50,10
52,65,12
53,64,11
54,65,10
55,62,11
56,71,11
57,62,10
58,83,11
59,69,11
60,83,13
61,88,11
62,78,10
63,66,11
64,79,11
65,46,11
66,57,10
67,86,12
68,63,10
69,61,11
70,79,11
71,77,11
72,75,11
73,59,10
74,67,10
75,66,10
76,69,10
77,70,11
78,57,10
79,39,12
80,69,11
81,58,11
82,71,11
83,74,11
84,44,10
85,52,11
86,61,10
87,71,10
88,70,10
89,55,10
90,76,13
91,90,11
92,81,10
93,100,11
94,87,10
95,77,10
96,77,10
97,69,10
98,77,10
99,59,10
100,53,10
101,48,10
102,65,11
103,67,12
104,58,10
105,57,11
106,63,11
107,54,10
108,62,10
109,74,10
110,75,11
111,75,12
112,67,10
113,64,10
114,57,10
115,44,11
116,71,11
117,67,10
118,59,10
119,47,10
120,44,10
121,48,10
122,57,11
123,67,10
124,68,10
125,54,10
126,64,11
127,68,10
128,69,11
129,69,10
130,63,10
131,63,10
132,61,10
133,67,11
134,46,10
135,74,11
136,73,10
137,70,10
138,73,10
139,75,10
140,62,10
141,43,11
142,61,10
143,60,10
144,60,10
145,63,10
146,69,10
147,65,10
148,54,10
149,58,11
150,46,10
151,57,10
152,66,10
153,59,11
154,59,10
155,53,10
156,41,10
157,57,11
158,54,10
159,62,10
160,56,10
161,57,11
162,61,10
163,55,10
164,57,10
165,53,10
166,58,10
167,67,10
168,78,11
169,65,10
170,53,10
171,63,10
172,62,10
173,60,11
174,80,11
175,70,10
176,93,10
177,65,10
178,73,10
179,57,11
180,45,10
181,60,10
182,40,11
183,47,10
184,59,10
185,47,10
186,61,10
187,64,11
188,64,10
189,61,11
190,50,10
191,61,10
192,75,10
193,64,10
194,65,10
195,56,10
196,57,10
197,47,10
198,66,11
199,70,10
200,67,10
201,52,10
202,59,10
203,55,10
204,59,10
205,53,10
206,44,11
207,55,10
208,50,11
209,64,10
210,59,10
211,57,10
212,52,10
213,62,10
214,61,10
215,67,10
216,74,10
217,53,10
218,66,11
219,76,10
220,53,10
221,75,10
222,76,10
223,61,10
224,64,10
225,65,10
226,63,10
227,65,10
228,94,10
229,71,10
230,98,10
231,58,10
232,83,10
233,81,10
234,81,10
235,107,10
236,83,10
237,90,10
238,95,10
239,86,10
240,92,11
241,87,10
242,83,10
243,96,10
244,110,10
245,85,10
246,88,11
247,115,10
248,91,10
249,97,10
250,97,10
251,105,10
252,116,10
253,106,10
254,109,10
255,100,10
256,134,10
257,128,10
258,119,10
259,135,10
260,126,10
261,115,10
262,139,10
263,135,11
264,134,10
265,122,10
266,135,10
267,166,10
268,142,10
269,138,10
270,132,10
271,146,10
272,145,10
273,162,10
274,165,10
275,171,11
276,177,10
277,172,10
278,155,10
279,190,10
280,176,10
281,201,11
282,188,10
283,156,10
284,178,10
285,195,11
286,194,10
287,198,11
288,182,10
289,191,10
290,213,10
291,185,10
292,184,10
293,240,11
294,232,11
295,207,10
296,227,11
297,243,10
298,229,10
299,232,11
300,248,10
301,249,10
302,230,11
303,240,10
304,275,10
305,226,10
306,272,11
307,263,10
308,242,10
309,281,11
310,249,10
311,298,11
312,275,11
313,299,11
314,325,12
315,325,11
316,312,11
317,334,11
318,299,10
319,348,11
320,313,11
321,357,11
322,364,11
323,355,11
324,394,12
325,407,11
326,410,12
327,402,12
328,422,11
329,394,11
330,467,12
331,412,12
332,383,11
333,430,12
334,455,21
335,464,13
336,400,11
337,471,12
338,478,21
339,460,42
340,449,14
341,480,15
342,456,11
343,455,12
344,501,12
345,474,12
346,474,12
347,447,24
348,454,19
349,473,23
350,463,11
351,499,15
352,517,24
353,503,59
354,546,64
355,508,40
356,518,13
357,506,12
358,543,12
359,590,13
360,577,14
361,521,35
362,518,42
363,563,32
364,554,13
365,524,12
366,534,12
367,566,12
368,558,14
369,564,36
370,590,85
371,575,35
372,572,29
373,601,13
374,600,14
375,596,13
376,568,12
377,560,13
378,561,13
379,532,12
380,556,12
381,582,14
382,604,15
383,557,17
384,626,15
385,652,17
386,588,13
387,609,13
388,600,12
389,589,13
390,612,13
391,578,13
392,585,12
393,597,15
394,575,13
395,579,13
396,608,14
397,646,13
398,543,12
399,583,13
400,613,14
401,610,13
402,568,13
403,618,13
404,608,13
405,614,14
406,683,15
407,587,16
408,615,18
409,627,15
410,635,16
411,649,14
412,627,13
413,680,24
414,641,22
415,661,14
416,678,14
417,673,14
418,658,13
419,673,14
420,677,17
421,666,27
422,690,21
423,695,17
424,690,14
425,678,15
426,690,24
427,701,30
428,731,35
429,729,18
430,721,17
431,707,15
432,739,16
433,752,15
434,722,14
435,724,15
436,718,16
437,715,15
438,736,17
439,730,16
440,765,23
441,726,25
442,735,20
443,771,18
444,744,15
445,762,17
446,723,15
447,704,15
448,735,15
449,778,17
450,761,17
451,718,14
452,772,18
453,775,15
454,788,21
455,785,22
456,770,25
457,733,18
458,853,17
459,802,16
460,772,16
461,786,15
462,723,15
463,812,16
464,800,16
465,849,17
466,763,15
467,750,15
468,801,15
469,784,16
470,781,14
471,791,17
472,800,15
473,759,17
474,833,18
475,811,14
476,770,20
477,839,21
478,809,43
479,836,17
480,846,18
481,752,15
482,847,16
483,833,16
484,766,16
485,763,15
486,810,16
487,809,16
488,807,15
489,806,15
490,743,16
491,793,16
492,800,16
493,807,16
494,772,15
495,755,16
496,795,17
497,812,16
498,741,15
499,777,15
500,784,16
501,795,15
502,800,19
503,815,17
504,790,16
505,804,17
506,804,19
507,808,18
508,822,17
509,827,17
510,818,17
511,827,17
512,795,16
513,821,16
514,810,18
515,840,18
516,836,18
517,728,16
518,812,15
519,772,19
520,757,16
521,773,17
522,749,14
523,788,17
524,751,15
525,844,17
526,848,18
527,750,15
528,844,20
529,709,15
530,724,15
531,790,15
532,807,16
533,767,15
534,804,16
535,793,18
536,780,16
537,750,16
538,783,24
539,787,16
540,793,16
541,780,18
542,768,16
543,810,16
544,790,16
545,830,16
546,750,16
547,813,17
548,755,17
549,816,18
550,832,17
551,764,17
552,776,16
553,787,16
554,804,17
555,841,19
556,778,20
557,861,25
558,897,18
559,790,16
560,811,17
561,829,17
562,682,17
563,732,17
564,830,18
565,814,17
566,780,16
567,810,18
568,758,16
569,860,18
570,813,17
571,829,16
572,825,18
573,805,18
574,775,21
575,785,18
576,811,16
577,798,18
578,864,17
579,772,17
580,854,17
581,753,15
582,802,16
583,797,16
584,841,17
585,872,18
586,872,18
587,895,22
588,840,19
589,902,18
590,897,19
591,849,18
592,847,18
593,841,17
594,859,17
595,877,17
596,885,17
597,834,19
598,850,27
599,834,19
600,853,20
601,892,24
602,866,21
603,937,21
604,800,18
605,900,17
606,906,21
607,923,21
608,875,18
609,914,23
610,920,31
611,952,32
612,906,17
613,978,22
614,940,22
615,893,18
616,985,30
617,958,23
618,945,18
619,920,22
620,958,24
621,972,22
622,964,20
623,977,28
624,949,35
625,940,18
626,998,19
627,998,20
628,986,29
629,971,21
630,1024,23
631,1000,21
632,1050,24
633,1071,21
634,961,21
635,1068,23
636,1048,20
637,980,20
638,1008,22
639,1041,21
640,1101,21
641,1079,29
642,1088,21
643,1050,29
644,1001,30
645,1090,30
646,1033,20
647,1069,21
648,1038,21
649,1045,18
650,1056,22
651,1048,19
652,996,19
653,992,19
654,1063,21
655,1103,20
656,1087,19
657,1013,18
658,1048,19
659,1028,20
660,1100,26
661,1125,29
662,1030,18
663,1064,20
664,1063,20
665,1105,24
666,1053,19
667,1041,20
668,1140,22
669,1098,18
670,1091,21
671,1073,22
672,1002,21
673,1011,18
674,1079,20
675,1045,20
676,1049,20
677,1117,19
678,1079,21
679,1123,23
680,1119,30
681,1064,22
682,1097,31
683,1045,19
684,1070,21
685,1089,20
686,1111,21
687,1081,24
688,1049,18
689,1062,22
690,1094,21
691,1132,22
692,1031,18
693,1082,21
694,1072,19
695,1099,20
696,1073,21
697,1091,20
698,1119,24
699,1002,22
700,1058,26
701,1071,24
702,1049,24
703,1080,19
704,1102,23
705,1098,31
706,1038,21
707,1067,23
708,1103,23
709,1025,19
710,1074,21
711,1036,20
712,1133,30
713,1079,20
714,1097,23
715,1044,23
716,1104,25
717,1043,23
718,1025,26
719,1087,20
720,1113,20
721,1100,21
722,1035,18
723,1092,22
724,1063,20
725,1006,19
726,1033,18
727,1044,20
728,1087,19
729,1125,21
730,1061,19
731,1100,22
732,1044,23
733,1072,22
734,1032,20
735,1034,22
736,1120,20
737,1142,25
738,1058,21
739,1053,20
740,1070,19
741,1078,22
742,1038,20
743,1163,24
744,1128,25
745,1049,23
746,1056,21
747,1081,24
748,991,21
749,1045,19
750,1064,20
751,1036,20
752,1059,20
753,1074,23
754,974,22
755,995,22
756,1063,22
757,1022,18
758,1005,17
759,1053,21
760,1065,20
761,965,18
762,985,16
763,1022,20
764,975,16
765,961,20
766,996,17
767,1031,21
768,986,18
769,996,19
770,1010,19
771,1026,20
772,975,17
773,1103,18
774,1033,17
775,990,18
776,1051,19
777,1041,19
778,975,19
779,996,18
780,1000,18
781,975,18
782,947,15
783,1000,15
784,1018,16
785,947,16
786,950,19
787,958,18
788,960,17
789,1044,19
790,1037,22
791,1071,20
792,957,18
793,1010,17
794,1018,19
795,982,19
796,1023,20
797,1006,17
798,963,17
799,1019,19
800,957,17
801,941,17
802,917,17
803,947,18
804,945,17
805,976,17
806,938,19
807,947,18
808,901,16
809,883,18
810,946,18
811,928,19
812,915,18
813,894,17
814,927,16
815,914,17
816,950,18
817,1023,17
818,901,16
819,960,16
820,920,18
821,916,17
822,923,17
823,919,16
824,948,16
825,909,18
826,867,17
827,940,18
828,852,16
829,857,16
830,905,15
831,886,17
832,886,15
833,919,16
834,928,17
835,956,17
836,957,15
837,931,16
838,982,18
839,911,16
840,943,18
841,881,15
842,964,20
843,932,17
844,953,18
845,897,16
846,921,18
847,988,17
848,903,17
849,913,16
850,903,18
851,918,15
852,861,16
853,915,16
854,916,16
855,921,16
856,934,16
857,875,15
858,870,15
859,950,16
860,984,19
861,953,17
862,990,18
863,924,18
864,889,15
865,971,17
866,955,17
867,973,17
868,963,18
869,946,18
870,910,17
871,983,19
872,928,17
873,940,18
874,930,14
875,910,16
876,943,16
877,891,16
878,1004,17
879,985,21
880,994,18
881,1014,17
882,940,19
883,976,17
884,950,17
885,1010,18
886,1022,19
887,968,15
888,939,15
889,945,18
890,1029,19
891,1021,21
892,1037,17
893,985,18
894,992,17
895,921,16
896,943,16
897,925,16
898,921,16
899,929,17
900,916,15
901,912,13
902,949,16
903,948,17
904,982,17
905,973,16
906,967,16
907,890,15
908,1018,17
909,974,16
910,985,25
911,956,14
912,907,15
913,966,17
914,943,16
915,970,16
916,933,16
917,978,16
918,929,16
919,948,16
920,894,16
921,927,18
922,973,18
923,985,18
924,948,16
925,942,19
926,927,17
927,904,18
928,927,17
929,957,17
930,912,16
931,964,19
932,929,18
933,928,16
934,694,14
935,664,13
936,624,13
937,665,14
938,632,13
939,636,13
940,620,13
941,645,12
942,633,14
943,625,13
944,638,12
945,601,12
946,620,13
947,647,12
948,599,13
949,595,13
950,639,12
951,670,13
952,608,12
953,598,14
954,658,14
955,628,13
956,620,13
957,633,12
958,619,13
959,611,13
960,605,12
961,649,14
962,617,13
963,631,13
964,664,13
965,653,13
966,633,12
967,692,13
968,626,12
969,570,12
970,609,13
971,638,14
972,631,13
973,607,13
974,614,12
975,655,12
976,675,13
977,641,12
978,652,14
979,635,13
980,654,12
981,679,12
982,598,12
983,646,13
984,634,14
985,646,12
986,645,12
987,668,12
988,640,12
989,590,13
990,590,12
991,657,12
992,685,14
993,624,12
994,646,12
995,622,12
996,661,12
997,620,13
998,572,12
999,606,12
1000,605,12
,,15.52
