iteration,workload,measured-rt(average)
1,230,4
2,18,96
3,17,408
4,18,1168
5,52,1675
6,145,1716
7,264,1572
8,205,1029
9,108,11
10,117,11
11,126,11
12,123,10
13,111,10
14,122,10
15,107,10
16,95,10
17,105,11
18,91,11
19,104,10
20,107,11
21,118,10
22,108,10
23,104,10
24,80,10
25,86,11
26,78,10
27,94,11
28,87,9
29,91,9
30,92,10
31,80,9
32,102,9
33,93,10
34,84,11
35,86,8
36,75,10
37,78,10
38,105,10
39,105,9
40,102,10
41,94,11
42,75,10
43,68,9
44,82,11
45,76,10
46,77,10
47,94,10
48,92,10
49,68,9
50,79,10
51,51,10
52,64,10
53,63,10
54,66,10
55,62,10
56,71,10
57,62,9
58,83,9
59,69,11
60,84,11
61,87,10
62,78,10
63,67,10
64,78,10
65,48,10
66,58,10
67,84,10
68,65,10
69,60,10
70,79,10
71,77,10
72,74,10
73,59,10
74,69,10
75,65,10
76,72,10
77,67,9
78,57,10
79,38,10
80,71,10
81,61,11
82,68,10
83,75,10
84,43,10
85,55,9
86,63,10
87,72,11
88,65,9
89,55,9
90,78,10
91,90,10
92,79,11
93,97,10
94,93,10
95,76,9
96,74,10
97,69,10
98,81,10
99,54,8
100,53,9
101,55,10
102,60,10
103,69,10
104,58,10
105,58,9
106,66,10
107,50,10
108,60,10
109,76,9
110,78,9
111,74,9
112,64,10
113,66,10
114,54,10
115,46,10
116,72,11
117,70,9
118,52,11
119,50,10
120,42,10
121,47,11
122,58,10
123,71,9
124,63,10
125,54,10
126,66,10
127,68,11
128,71,10
129,70,9
130,61,9
131,60,10
132,63,10
133,67,10
134,47,11
135,71,10
136,72,10
137,73,10
138,72,11
139,76,10
140,61,10
141,45,10
142,63,10
143,59,10
144,59,10
145,66,10
146,69,10
147,60,11
148,57,10
149,61,10
150,46,10
151,59,10
152,64,10
153,55,10
154,59,10
155,54,10
156,43,10
157,56,11
158,55,10
159,62,10
160,55,10
161,60,10
162,58,10
163,53,10
164,59,10
165,53,10
166,61,10
167,63,10
168,75,10
169,70,10
170,52,10
171,65,10
172,58,10
173,66,11
174,75,10
175,71,10
176,97,10
177,60,10
178,71,10
179,58,10
180,46,10
181,61,9
182,38,10
183,48,10
184,62,10
185,43,10
186,64,10
187,61,10
188,63,10
189,64,9
190,49,10
191,62,9
192,71,9
193,72,10
194,63,9
195,52,10
196,56,10
197,49,10
198,67,9
199,73,8
200,60,8
201,56,9
202,58,10
203,54,9
204,60,9
205,57,8
206,39,9
207,56,10
208,48,9
209,67,9
210,59,9
211,58,12
212,51,10
213,62,10
214,59,10
215,65,10
216,77,10
217,53,9
218,72,9
219,71,9
220,53,11
221,74,9
222,75,9
223,63,9
224,65,9
225,63,9
226,65,9
227,65,10
228,94,10
229,75,10
230,93,10
231,59,10
232,81,10
233,80,10
234,80,10
235,109,10
236,87,10
237,90,10
238,95,11
239,85,9
240,93,10
241,85,10
242,80,10
243,94,10
244,112,10
245,94,11
246,97,10
247,106,11
248,92,10
249,94,10
250,106,11
251,106,11
252,112,10
253,121,11
254,108,10
255,113,10
256,133,10
257,114,10
258,124,10
259,137,11
260,125,10
261,117,10
262,140,10
263,128,11
264,139,15
265,124,11
266,143,10
267,147,10
268,150,11
269,130,10
270,147,11
271,142,12
272,138,11
273,175,10
274,151,9
275,158,13
276,194,15
277,168,12
278,161,9
279,182,9
280,177,10
281,206,10
282,169,11
283,170,36
284,183,10
285,193,10
286,191,11
287,192,20
288,188,36
289,201,10
290,191,10
291,199,11
292,184,11
293,241,11
294,230,11
295,197,14
296,227,30
297,251,46
298,227,14
299,231,11
300,248,13
301,254,11
302,232,12
303,237,11
304,278,12
305,217,10
306,268,12
307,266,11
308,247,11
309,284,11
310,239,10
311,296,14
312,277,33
313,311,23
314,317,12
315,321,13
316,314,11
317,332,22
318,294,31
319,347,19
320,322,12
321,351,15
322,370,29
323,340,55
324,384,93
325,414,165
326,433,70
327,409,13
328,410,13
329,385,17
330,453,34
331,415,97
332,400,75
333,420,16
334,463,17
335,445,14
336,420,13
337,484,24
338,481,50
339,441,20
340,479,22
341,471,13
342,451,15
343,464,13
344,504,16
345,481,14
346,455,13
347,445,37
348,469,28
349,471,28
350,468,17
351,520,13
352,526,13
353,489,13
354,527,17
355,500,17
356,519,15
357,528,14
358,542,14
359,598,15
360,555,19
361,520,44
362,528,53
363,545,42
364,560,16
365,528,18
366,523,17
367,565,16
368,554,21
369,579,47
370,586,68
371,565,23
372,567,21
373,603,16
374,601,20
375,587,15
376,567,15
377,565,17
378,579,16
379,528,14
380,535,14
381,580,15
382,598,16
383,551,18
384,616,23
385,637,18
386,596,14
387,598,16
388,602,14
389,593,14
390,570,15
391,602,19
392,584,17
393,638,15
394,571,14
395,573,13
396,613,13
397,644,17
398,541,17
399,591,13
400,619,15
401,611,16
402,575,15
403,621,16
404,606,17
405,632,15
406,665,20
407,578,24
408,613,23
409,643,23
410,618,30
411,659,25
412,652,36
413,765,36
414,645,25
415,653,28
416,700,25
417,546,21
418,186,441
419,634,767
420,660,1064
421,768,990
422,670,930
423,711,1425
424,627,1859
425,735,1846
426,612,1701
427,662,1943
428,710,1816
429,744,1517
430,749,1740
431,656,1588
432,1299,1633
433,685,1403
434,807,1632
435,618,1634
436,761,1188
437,715,1415
438,677,1396
439,739,1322
440,698,1450
441,656,1455
442,680,1430
443,748,1269
444,724,1454
445,668,1432
446,587,2728
447,662,2675
448,596,2482
449,760,2218
450,788,1316
451,725,1633
452,753,2262
453,752,2419
454,759,1611
455,713,2191
456,773,1817
457,785,1964
458,768,1818
459,786,1552
460,753,1433
461,777,2190
462,753,1614
463,705,1487
464,837,1234
465,1563,1045
466,721,1696
467,714,1493
468,1048,1880
469,740,2093
470,804,2143
471,749,1964
472,793,1936
473,1566,1484
474,731,1732
475,768,2086
476,755,2382
477,765,1904
478,812,1849
479,760,2435
480,787,2829
481,833,2505
482,812,1908
483,779,2586
484,775,2122
485,763,2383
486,775,2462
487,791,1909
488,1232,806
489,793,1821
490,749,2114
491,727,3023
492,805,2932
493,2296,2247
494,747,1816
495,753,1788
496,744,2198
497,744,1702
498,774,2088
499,732,2363
500,772,2620
501,725,2450
502,819,1738
503,753,616
504,768,2000
505,795,1546
506,771,3150
507,796,2467
508,1150,1855
509,804,1359
510,759,653
511,821,10
512,861,1589
513,2094,1283
514,719,2286
515,703,2418
516,723,2234
517,812,1280
518,766,2000
519,738,2000
520,827,2000
521,804,3122
522,733,2050
523,3336,3276
524,774,4000
525,807,4000
526,770,4000
527,738,4000
528,762,4000
529,687,4000
530,763,4000
531,750,4000
532,708,4000
533,2100,4000
534,733,4000
535,722,4000
536,690,4000
537,709,4000
538,691,4000
539,722,4000
540,734,4000
541,766,4000
542,704,4000
543,747,4000
