iteration,workload,measured-rt(average)
1,230,4
2,19,180
3,22,727
4,31,1659
5,95,1812
6,85,1302
7,231,1104
8,228,932
9,112,11
10,107,11
11,137,11
12,126,11
13,110,11
14,108,10
15,106,11
16,100,10
17,100,11
18,95,11
19,100,10
20,108,11
21,115,10
22,106,10
23,107,10
24,80,11
25,84,10
26,78,10
27,95,10
28,86,10
29,93,10
30,93,10
31,78,10
32,102,11
33,92,10
34,85,10
35,87,10
36,73,10
37,78,10
38,106,11
39,104,11
40,102,10
41,94,10
42,72,10
43,71,11
44,81,11
45,74,11
46,80,10
47,94,10
48,90,10
49,70,10
50,79,10
51,50,11
52,64,10
53,62,11
54,67,11
55,63,10
56,69,10
57,62,10
58,82,11
59,72,11
60,82,10
61,89,10
62,77,10
63,66,11
64,79,10
65,48,10
66,57,10
67,86,10
68,63,11
69,60,10
70,80,10
71,77,10
72,75,10
73,59,11
74,67,10
75,66,11
76,69,10
77,69,10
78,58,10
79,39,11
80,69,11
81,58,10
82,71,10
83,75,11
84,43,10
85,52,11
86,62,11
87,72,10
88,69,10
89,57,10
90,73,11
91,92,10
92,82,10
93,98,11
94,91,11
95,74,10
96,78,10
97,67,11
98,80,11
99,57,10
100,52,11
101,52,10
102,62,10
103,70,10
104,56,10
105,60,10
106,61,11
107,55,11
108,61,11
109,76,10
110,75,11
111,77,10
112,63,10
113,67,11
114,55,10
115,45,10
116,73,10
117,68,11
118,54,10
119,49,10
120,42,11
121,47,11
122,59,10
123,72,10
124,61,10
125,56,10
126,66,11
127,67,11
128,71,11
129,71,10
130,60,11
131,59,10
132,66,11
133,65,10
134,46,11
135,71,11
136,73,11
137,72,10
138,72,11
139,76,11
140,63,10
141,44,12
142,63,10
143,58,10
144,60,10
145,66,10
146,68,10
147,61,11
148,58,10
149,60,10
150,45,11
151,60,10
152,65,11
153,57,11
154,56,10
155,55,11
156,42,11
157,58,10
158,53,10
159,62,11
160,56,10
161,61,10
162,58,11
163,53,10
164,57,10
165,53,10
166,62,10
167,63,10
168,80,10
169,65,11
170,55,10
171,64,10
172,56,10
173,66,11
174,77,11
175,74,10
176,95,11
177,60,10
178,70,10
179,57,10
180,45,10
181,61,10
182,39,10
183,49,10
184,61,11
185,42,10
186,66,10
187,61,10
188,61,10
189,66,10
190,49,10
191,62,10
192,69,11
193,77,10
194,61,12
195,51,10
196,53,10
197,56,10
198,66,10
199,73,10
200,59,11
201,54,10
202,58,10
203,56,10
204,56,11
205,59,11
206,36,10
207,60,10
208,47,10
209,68,10
210,59,11
211,55,10
212,50,11
213,69,10
214,54,11
215,63,10
216,77,10
217,58,10
218,70,10
219,68,10
220,57,10
221,74,10
222,75,10
223,64,10
224,66,10
225,58,11
226,71,10
227,60,11
228,94,10
229,79,10
230,89,10
231,64,10
232,78,10
233,81,11
234,86,10
235,104,10
236,81,10
237,98,10
238,87,10
239,95,10
240,97,11
241,88,10
242,82,10
243,94,10
244,102,10
245,95,10
246,97,10
247,102,10
248,99,10
249,95,10
250,106,11
251,111,10
252,113,10
253,116,11
254,99,11
255,121,10
256,139,11
257,103,10
258,136,11
259,134,10
260,123,10
261,116,10
262,140,10
263,124,11
264,135,18
265,123,10
266,147,10
267,155,11
268,147,12
269,121,10
